,URN,Absence,YEAR,Postcode
43,137181,5.9,2017,NW33AQ
44,100049,7.1,2017,NW32BQ
45,100050,5.2,2017,NW51RL
46,100051,6.9,2017,NW11RX
47,100052,5.7,2017,NW23RT
48,100053,5.7,2017,NW51UJ
49,100054,3.7,2017,NW52DB
50,100055,4.8,2017,NW11LY
51,100056,6.5,2017,NW51RN
52,100059,5.1,2017,NW51RP
54,100092,27.5,2017,NW18DP
119,138449,5.1,2017,SE95EQ
120,138245,5.9,2017,SE184LH
122,143927,2.5,2017,SE78LJ
123,100182,3.8,2017,SE95EE
124,100183,5.9,2017,SE181QF
125,137473,7.4,2017,SE38EP
126,141163,4.9,2017,SE288AT
127,141309,5.3,2017,SE92PT
128,100190,5.7,2017,SE39PX
129,100192,6.5,2017,SE37QR
130,100193,3.6,2017,SE108HN
131,141716,2.6,2017,SE92SU
133,105135,4.0,2017,SE29PX
134,100204,28.9,2017,SE95LX
135,138547,7.5,2017,SE78HX
196,138143,4.1,2017,N165RP
197,139595,6.6,2017,E84DL
198,140210,2.8,2017,E97HD
199,100277,5.2,2017,E28LS
200,137442,4.0,2017,E50RB
201,100279,4.1,2017,N169EX
202,133599,4.9,2017,N166UB
203,100282,4.7,2017,N165AF
204,100284,4.5,2017,E96NR
205,100285,4.4,2017,E96LG
206,134693,3.5,2017,E58JY
207,131062,5.0,2017,E82EY
208,131609,5.0,2017,E28BA
209,135835,4.9,2017,E96EA
210,136137,5.2,2017,N41SY
211,100307,4.5,2017,E58NP
251,136750,5.4,2017,W69LP
252,141135,4.9,2017,W149LY
253,141617,5.1,2017,SW63ED
254,143129,6.6,2017,W120RQ
255,139364,6.8,2017,SW66SN
256,139365,5.7,2017,SW66BP
257,137935,3.4,2017,W67DG
258,138607,4.0,2017,SW64UN
259,137157,4.4,2017,SW61RX
260,131752,6.3,2017,W120HR
261,136172,4.6,2017,W129JD
262,100378,6.4,2017,W120NW
263,100379,10.1,2017,W120TN
265,100382,10.1,2017,W120SP
266,135175,7.7,2017,W149BL
312,100452,9.9,2017,N52EQ
313,100453,5.0,2017,N70JG
314,100455,5.8,2017,N51AR
315,100457,4.8,2017,N19QG
316,131690,6.7,2017,N43LS
317,100458,4.2,2017,EC2A4SH
318,100459,3.6,2017,N65LY
319,100460,5.1,2017,N193EU
320,134314,6.0,2017,N78PG
321,135587,5.1,2017,N18PQ
322,139418,9.0,2017,N78LT
326,100469,8.4,2017,N52EG
351,140212,6.5,2017,W106EX
352,140134,4.5,2017,W87AF
353,100502,4.2,2017,SW32QS
354,100503,8.7,2017,W106EL
357,141931,4.2,2017,W148BZ
358,135531,5.6,2017,SW100AB
411,139659,4.3,2017,SE17HS
412,140966,6.2,2017,SW21QS
413,142905,6.3,2017,SW21QS
414,100624,4.5,2017,SE193NY
415,100625,5.1,2017,SE115QY
416,136450,5.0,2017,SW90AL
417,100627,4.6,2017,SW96UL
418,129649,5.6,2017,SE279BZ
426,136288,4.4,2017,SW90RD
429,100637,3.7,2017,SW120AB
430,100638,3.2,2017,SW162HY
431,137093,5.8,2017,SW162QB
432,100640,7.0,2017,SE115SR
433,137966,5.6,2017,SW23UP
434,100642,5.1,2017,SE19NA
436,134815,5.1,2017,SW49ET
437,135389,5.6,2017,SE240QN
438,137954,6.4,2017,SW23PW
439,100654,6.3,2017,SW99QG
440,100659,15.5,2017,SW22EF
507,100740,5.3,2017,SE146AN
508,100741,4.2,2017,SE264RD
509,100742,5.3,2017,SE62SE
510,100743,7.2,2017,SE63QW
511,100745,6.5,2017,SE232XN
512,100747,6.2,2017,SE41SA
513,100748,6.0,2017,SE146TJ
514,100749,5.5,2017,SE128PD
515,100750,5.4,2017,SE41LE
516,100752,2.7,2017,BR15PZ
518,135843,5.5,2017,SE137BN
519,135073,4.0,2017,SE145SF
520,135070,4.5,2017,BR15EB
521,135264,5.1,2017,SE30XX
522,100760,6.1,2017,SE232QU
592,139587,8.2,2017,SE162BT
593,139718,4.2,2017,SE50UB
594,140221,3.9,2017,SE172TP
596,136309,4.0,2017,SE218SQ
597,136298,4.6,2017,SE249JH
598,100849,3.9,2017,SE14AN
606,100857,4.6,2017,SE152EB
607,138961,1.7,2017,SE164UN
608,100859,4.8,2017,SE16EX
609,138960,3.5,2017,SE50RP
610,134222,5.2,2017,SE15LA
611,134225,4.8,2017,SE155DZ
612,131747,4.9,2017,SE163TZ
613,132711,3.4,2017,SE220NR
614,135315,5.3,2017,SE15UJ
615,135401,5.4,2017,SE166AT
616,135584,4.0,2017,SE16AG
617,135816,3.7,2017,SE220AT
620,140138,16.9,2017,SE153AZ
695,138202,6.2,2017,E12DA
696,141133,4.8,2017,E11RD
698,100965,4.2,2017,E33QW
699,100966,4.8,2017,E140RZ
700,100967,5.7,2017,E20PX
701,100968,3.8,2017,E12JP
702,100969,3.8,2017,E14SD
703,143379,3.4,2017,E34FT
704,137789,3.0,2017,E26NW
705,100972,5.3,2017,E26PR
706,100973,3.4,2017,E15DJ
707,133289,5.2,2017,E10LB
708,100974,5.7,2017,E143DW
709,100975,3.6,2017,E32AE
710,100977,4.4,2017,E10RH
711,100978,4.6,2017,E10LB
712,100979,5.5,2017,E29LY
713,100987,6.6,2017,E32AD
773,138267,4.7,2017,SW116BF
774,140985,5.3,2017,SW115AP
775,135762,5.5,2017,SW113DQ
776,101053,5.3,2017,SW177DF
777,136883,5.9,2017,SW128JZ
778,141808,5.0,2017,SW185JR
784,137005,5.2,2017,SW179BU
785,139842,5.2,2017,SW170AQ
786,138681,4.4,2017,SW153DG
787,138682,5.2,2017,SW185JU
788,135316,2.8,2017,SW152UT
789,143175,21.0,2017,SW177DF
791,101094,8.8,2017,SW128NA
794,101103,7.5,2017,SW183TB
836,140884,5.2,2017,W21QZ
837,137646,6.1,2017,NW80NL
838,138313,3.5,2017,SW1P2DY
839,137353,5.2,2017,W1U5BA
840,138312,5.3,2017,SW1E5HJ
841,101154,5.7,2017,NW65SN
842,139369,3.7,2017,W91RB
843,130912,5.7,2017,W92DR
844,131262,5.7,2017,W25EZ
845,135242,5.0,2017,NW16RU
846,135676,4.3,2017,SW1V3AT
847,139600,6.8,2017,W104RS
848,101182,8.9,2017,W24PH
895,139791,4.0,2017,IG110FU
897,141178,5.1,2017,RM66SB
898,140945,6.5,2017,RM107FN
900,101241,5.9,2017,IG119AG
901,101243,6.6,2017,RM107UR
902,101244,5.9,2017,IG119UW
903,101245,5.1,2017,RM81JU
904,141683,4.1,2017,RM95QT
905,133561,5.5,2017,RM94UN
906,101247,3.9,2017,RM81JT
907,136028,3.9,2017,RM109QH
992,103119,3.8,2017,NW44QR
996,139410,5.5,2017,N111NP
997,139594,5.5,2017,N28GA
998,101345,6.5,2017,N113LS
999,142627,5.7,2017,NW27BZ
1001,144502,4.8,2017,N208AZ
1002,137361,5.3,2017,NW21TR
1003,137131,5.2,2017,EN55RR
1004,138685,4.6,2017,NW72EP
1005,137388,5.5,2017,N20SE
1006,136658,4.6,2017,EN48PU
1007,136418,4.0,2017,N120QG
1008,138051,3.2,2017,NW117BN
1011,137645,6.8,2017,NW42HP
1012,136290,2.5,2017,EN54DQ
1013,137386,5.7,2017,NW74LL
1014,101361,4.4,2017,N127NJ
1015,101362,4.7,2017,N128TA
1016,136308,4.3,2017,N145RJ
1017,101364,4.3,2017,NW95PE
1018,143082,3.9,2017,N20SQ
1019,137539,4.0,2017,NW41NA
1020,135747,6.8,2017,EN49GE
1023,144784,28.6,2017,EN48XE
1024,134798,5.8,2017,HA88DE
1025,135507,4.1,2017,N129HB
1084,136369,3.0,2017,DA162BL
1085,137769,3.0,2017,DA67AB
1086,137138,6.8,2017,DA67DA
1087,137965,4.7,2017,DA159NU
1088,137423,3.8,2017,DA159AG
1089,136720,6.1,2017,DA161LB
1090,136330,6.4,2017,DA83BN
1091,138686,5.7,2017,DA144JN
1092,136538,3.8,2017,DA176HT
1096,138650,3.6,2017,DA67QB
1097,137681,3.5,2017,DA67QJ
1098,136334,2.9,2017,DA51NE
1099,137368,4.4,2017,DA159AW
1100,133769,4.8,2017,DA184DW
1101,135677,4.2,2017,DA162PE
1102,135951,4.9,2017,DA14RS
1103,101485,7.6,2017,DA83PB
1107,131115,24.2,2017,DA76LB
1163,141019,6.7,2017,HA97DU
1164,138457,3.6,2017,HA03NT
1165,133724,5.1,2017,HA39TE
1171,136656,4.4,2017,HA30UH
1172,137685,5.5,2017,NW99JR
1173,138609,5.9,2017,NW67BQ
1174,137994,4.8,2017,NW104EP
1175,138610,4.6,2017,HA04JE
1176,142560,3.7,2017,HA30NB
1177,101564,5.1,2017,NW103RN
