,URN,Postcode,YEAR,Grades_scaled
2,100003,EC4V3AL,2016,2.0534454059673193
3,100001,EC2Y8BB,2016,0.32371434312256503
5,100062,NW37SR,2016,0.4281947428917115
6,100055,NW11TA,2016,-0.3147769887999953
7,100051,NW11RX,2016,-2.288295651106091
8,100056,NW51RN,2016,1.3278870742371374
9,100084,NW34YD,2016,-0.680458387992007
10,100092,NW18DP,2016,0.28308307654567505
12,100074,NW35UD,2016,1.351104940852503
13,100065,NW36XH,2016,0.8054850753914062
14,100052,NW23RT,2016,0.637155542430004
15,100049,NW32BQ,2016,0.2656696765841504
16,100054,NW52DB,2016,-2.015485718375542
19,100059,NW51RP,2016,1.1595575412757353
22,100053,NW51UJ,2016,-0.1754697891078
24,100182,SE95EE,2016,-2.1141616514908472
25,141315,SE186PF,2016,0.637155542430004
27,100202,SE128AW,2016,0.3527366763917723
28,137473,SE38EP,2016,0.6197421424684795
29,100193,SE108HN,2016,1.1131218080450034
30,100756,SE37AG,2016,-2.137379518106213
31,138547,SE78HX,2016,0.38756347631482113
32,100192,SE37QR,2016,0.2134294766995774
33,132777,SE29LZ,2016,-1.823938318798774
36,134402,SE186BB,2016,-1.835547252106457
37,143927,SE78LJ,2016,-1.0925755204147505
38,105135,SE29PX,2016,0.17279821012268745
40,100190,SE39PX,2016,0.28308307654567505
41,138245,SE184LH,2016,0.3991724096225042
42,141716,SE92SU,2016,0.31210540981488233
43,134827,SE83DE,2016,-2.20703311795231
45,141163,SE288AT,2016,0.474630476122443
46,141309,SE92PT,2016,1.3569094075063448
48,136092,SE96DN,2016,0.9680101416989669
49,100204,SE95LX,2016,-0.6340226547612753
51,138449,SE95EQ,2016,0.8054850753914062
53,141516,E83NR,2016,0.29469200985335775
56,131342,E59DH,2016,0.5094572760454918
58,100284,E96NR,2016,-1.0925755204147505
61,100287,N165AE,2016,1.3046692076217716
65,132736,N166PA,2016,0.3991724096225042
66,102171,N42SH,2016,-0.37862612199225104
67,131062,E82EY,2016,0.38756347631482113
69,100307,E58NP,2016,-2.2476643845292004
70,100279,N169EX,2016,0.6487644757376867
71,100285,E96LG,2016,-0.10581618926170276
72,100300,N166JJ,2016,0.23084287666110204
74,134693,E58JY,2016,0.2772786098918335
76,133599,N166UB,2016,0.5152617426993333
77,100293,N165DL,2016,0.6023287425069552
78,100295,N166XD,2016,0.9331833417759181
79,137442,E50RB,2016,0.10894907693043134
82,135835,E96EA,2016,0.637155542430004
83,138143,N165RP,2016,-1.9168097852602373
84,136750,W69LP,2016,0.3933679429686627
86,100369,W60PG,2016,0.8170940086990889
87,136172,W129JD,2016,-0.9822906539917627
88,137935,W67DG,2016,-1.8587651187218233
89,134735,SW61HD,2016,1.1711664745834178
90,100366,W67BS,2016,0.16118927681500436
93,131675,SW66EG,2016,-1.1796425202223724
94,137157,SW61RX,2016,0.5152617426993333
95,100370,W69LR,2016,0.5442840759685407
96,135729,W128AR,2016,-0.3089725221461538
97,139365,SW66BP,2016,-0.27414572222310496
99,100527,W148SH,2016,-2.224446517913835
101,143129,W120RQ,2016,-2.178010784683103
102,131752,W120HR,2016,0.5326751426608576
104,139364,SW66SN,2016,0.7706582754683574
106,100382,W120SP,2016,0.24245180996878468
107,141617,SW63ED,2016,0.056708877045858294
108,100453,N70JG,2016,0.3759545430071385
109,100461,EC1M7AJ,2016,-0.007140256146397822
111,100452,N52EQ,2016,-0.27414572222310496
112,100459,N65LY,2016,0.677786809006894
114,141250,N12NQ,2016,0.12636247689195554
115,100455,N51AR,2016,-0.04196705606944665
